,city,data_points,days,roads,detectors,flow_mean,flow_std,flow_median,occ_mean,occ_std,occ_median
0,bordeaux,0,0,0,0,nan,nan,nan,nan,nan,nan
1,strasbourg,5226091,25,74,142,256.8277532863473,302.77700670913686,160.0,0.037177316712144755,0.08089777412572385,0.01
2,rotterdam,2643861,6,57,259,266.9182559900085,263.8736765296777,204.0,inf,nan,5.58654970760234
3,madrid,15797827,20,341,1116,520.333110120145,4178.830132300297,260.0,0.09167936852164611,0.3088288096384016,0.03
4,stuttgart,377831,8,8,17,208.75524533455433,205.81354225611702,172.1,0.04490237169528176,0.07923570794541569,0.023
5,paris,6547333,336,80,208,908.229017021129,718.6450482878388,748.0,0.07424408119984428,0.08963271768578618,0.048
6,bolton,1280307,6,44,166,338.99056085766927,348.02555357692216,252.0,13.701528255469162,20.553591799741334,7.81395348837209
7,toronto,5289568,61,36,188,264.9145756307464,245.19664614225195,192.0,0.09044409358884924,0.15924288312104323,0.037
8,frankfurt,155757,1,23,112,239.17209499412547,226.79546671664073,156.0,0.19302711929907562,0.21638373763243615,0.1048046875
9,hamburg,134773857,105,72,311,155.28726732217808,170.31473453057018,100.0,0.14407592863723967,0.2049252496823925,0.0533333333333333
10,bremen,29736968,14,109,548,201.90777780370883,232.08388307654536,140.0,0.06260698839074882,0.11289803243362773,0.025
11,basel,1042272,8,24,77,180.7163120567376,198.6467885126649,120.0,0.07738332316324338,0.1699042794484853,0.023
12,innsbruck,1088640,30,7,16,383.42451720101815,409.38804154187216,264.0,nan,nan,nan
13,constance,0,0,0,0,nan,nan,nan,nan,nan,nan
14,graz,3872816,10,71,300,215.8777823423576,205.1771852678924,164.0,0.04951987287802984,0.07078373475107604,0.029
15,torino,5364040,21,142,399,407.0786176091155,444.00480526416743,276.0,inf,nan,7.125
16,utrecht,7650043,4,104,1027,141.24490332930154,1679.4195691667867,84.0,nan,nan,nan
17,toulouse,11699520,7,144,477,411.38127871912695,418.2833721825341,300.0,0.03119804060337518,0.050693304507191506,0.0166666666666667
18,taipeh,11524600,14,112,445,516.2369726497394,731.3529755502315,360.0,0.04405192695076145,0.06931772753927949,0.0244444446666667
19,manchester,5920764,28,61,181,396.9175839469366,420.1026012927377,252.0,16.128261469138636,31.499177265501036,7.89473684210526
20,groningen,249653,2,18,55,220.9353382494903,199.96805197185913,180.0,inf,nan,4.18010494277727
21,birmingham,760405,12,27,52,486.83649239549976,466.89669188997516,372.0,nan,nan,nan
22,darmstadt,27957249,39,60,392,146.27939751869005,187.8187731082417,80.0,0.13542774171617053,0.20570246631300626,0.0366666666666667
23,wolfsburg,11806269,14,17,130,206.77690502110272,251.36699615340532,100.0,0.054113550194024265,0.1098637953967488,0.0157666666666667
24,marseille,10526400,31,87,169,444.2769443494452,511.5248645336047,300.0,0.06412188170694634,0.1086081150342925,0.0333
25,augsburg,22952280,20,140,713,184.7273499626181,253.28242878159497,108.0,0.13610617028025102,0.23863358683654096,0.03
26,essen,2464849,35,18,36,243.93408250679497,211.70697422439778,190.0,0.018397163956426574,0.03544643585608186,0.0075
27,kassel,3810397,6,77,505,250.25641641365414,352.19759944975306,180.0,0.15320651188394144,0.2151099386147122,0.0633333333333333
28,speyer,11675744,14,41,184,148.2223469442414,160.98358467685296,100.0,0.12846111568660618,0.20181349842116922,0.035
29,cagliari,27533880,50,31,122,268.18818488349626,397.24662542740356,180.0,0.06040280459503395,0.11205196846580266,0.025
30,munich,1499688,1,94,520,286.8751629855259,316.20831828331933,182.156139891771,0.09223133039403245,0.1261057407567597,0.0430537037037037
31,zurich,26381061,7,210,1020,224.17918672793334,213.50907784693896,160.0,0.10381246646377744,0.1652982930300161,0.036111113
32,santander,2515587,11,68,219,360.1040680680308,440.3233374292944,216.0,0.06076141697010261,0.10287152565514673,0.029999999
33,vilnius,690620,1,84,581,246.8876661550491,216.76808628991452,180.0,0.08055270626393676,0.11665994868227672,0.04
34,melbourne,7388841,15,71,954,215.7391655876747,176.14063207736646,180.0,nan,nan,nan
35,luzern,114568514,365,38,158,672.4694503374412,6390.6058833130555,180.0,2.30662542852224,46.84838805237292,0.035
36,bern,7349580,8,75,597,143.68882074743814,381.266129451308,84.4,0.12850041426185937,0.19164465226810998,0.037966666
